,claim,label
0,1 in 5 million in UK have abnormal PrP positivity.,0
1,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,1
2,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,1
3,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,1
4,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,0
5,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,1
6,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,0
7,A deficiency of folate increases blood levels of homocysteine.,1
8,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,1
9,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",0
10,A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,1
11,A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,1
12,A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,1
13,A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,1
14,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,1
15,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,1
16,APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,0
17,ART has no effect on the infectiveness of HIV-positive people.,0
18,ART substantially reduces infectiveness of HIV-positive people.,1
19,Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,1
20,Activated Cdk5 regulates DNA damage-induced neuronal death.,1
21,Activation of PPM1D enhances p53 function.,0
22,Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,1
23,Active Ly49Q induces neutrophil polarization.,1
24,Active Ly49Q prevents neutrophil polarization.,0
25,Active caspase-11 participate in regulating phagosome-lysosome fusion.,1
26,Active caspase-11 protein promotes pyroptosis.,1
27,Adult tissue-resident macrophages are seeded before birth.,1
28,Adult tissue-resident macrophages are seeded before birth.,1
29,Adult tissue-resident macrophages possess a self-renewing capacity.,1
30,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,1
31,Alirocumab treatment reduces apo(a) fractional clearance rate.,0
32,Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.,0
33,Alteration of origin firing causes changes in termination zones of Okazaki fragments.,0
34,Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,0
35,Amitriptyline is an effective treatment for chronic tension-type headaches.,1
36,An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.,1
37,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,1
38,Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,0
39,Anthrax spores are very difficult to dispose once they are dispersed.,1
40,Anthrax spores remain deadly until affected areas are decontaminated.,1
41,Antidepressants increase the severity of migraines.,0
42,Antidepressants reduce the severity of migraines.,1
43,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,1
44,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,0
45,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,0
46,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,0
47,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,1
48,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,0
49,B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,1
50,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,1
51,BCL-2 promotes the apoptotic effects of c-Myc.,0
52,BLM gene encodes RecQ-class DNA helicase.,1
53,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,1
54,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,1
55,Bariatric surgery increases rates of colorectal cancer.,1
56,Bariatric surgery increases rates of postmenopausal breast cancer.,1
57,Bariatric surgery leads to negative outcomes in mental health.,0
58,Bariatric surgery leads to positive outcomes in mental health.,1
59,Bariatric surgery reduces colorectal cancer.,0
60,Bariatric surgery reduces postmenopausal breast cancer.,0
61,Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,1
62,Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.,1
63,Birth-weight is negatively associated with breast cancer.,0
64,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 prevents TDP-43-induced neuronal loss.,1
65,Bone marrow cells don't contribute to adult macrophage compartments.,1
66,Broadly HIV-1 Neutralizing Antibodies (bnAb) 10EB have no affinity for phospholipids.,1
67,C2 works synergistically with A-769662 to activate dephosphorylated AMPK.,1
68,CCL19 is a ligand for CCR7.,1
69,"CD28 initiates tonic signaling in conventional T cells, which causes an exhaustion phenotype and limited efficiency.",1
70,CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.,1
71,CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.,0
72,COPI coatmer is involved in lipid homeostasis.,1
73,Ca2+ cycling controls whole-body energy homeostasis in beige fat.,1
74,Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,0
75,Ca2+ cycling is a UCP1-independent thermogenic mechanism.,1
76,Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,1
77,Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,1
78,Cardiac tissue-resident macrophages directly contribute to electrical activity.,1
79,Cell autonomous sex determination in somatic cells occurs in Galliformes.,1
80,Cellular clocks are associated with mitosis timing in NIH 3T3 cells.,1
81,Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.,0
82,"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",1
83,Charcoal is an effective treatment for acute paraquat poisoning.,0
84,Charcoal shows no benefit for acute paraquat poisoning.,1
85,Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,0
86,Chenodeoxycholic acid treatment increases brown adipose tissue activity.,1
87,Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,1
88,"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.",1
89,Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,0
90,Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,1
91,Clathrin stabilizes the spindle fiber apparatus during mitosis.,1
92,Cnn1 recruitment varies with cell cycle timing.,1
93,Cognitive behavioral therapy is an ineffective treatment for insomnia,0
94,Combination nicotine replacement therapies with varenicline or bupropion are more effective after 12 weeks of reatment compared to varenicline monotherapy.,1
95,"Commelina yellow mottle virus (ComYMV) has three typical badnavirus ORFs, capable of encoding proteins 23, 15, and 216 kD.",1
96,Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.,0
97,Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.,1
98,Consumption of whole fruits increases the risk of type 2 diabetes.,0
99,Converting apoE4 to apoE3 by gene editing prevents the pathology associated with apoE4 in human iPSCderived neurons.,1
100,Converting apoE4 to apoE3 by gene editing worsens the pathology associated with apoE4 in human iPSCderived neurons.,0
101,Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,0
102,Cost effectiveness evaluations based on cRCT data lack external validity.,1
103,Cyclin A2 destruction is necessary to switch from unstable to stable kt-mt attachments in mitosis.,1
